x,y,z
0.480957,-0.515869,0.858398
0.254150,-0.566162,0.776123
0.256592,-0.582520,0.728027
0.252686,-0.583008,0.747314
0.251221,-0.583984,0.739014
x,y,z
0.375488,-0.600098,0.800293
0.722412,-0.601562,1.097168
0.847656,-0.156494,0.391113
0.311035,-0.310059,0.487793
-0.161377,-0.458252,0.798584
-0.287109,-0.459717,1.043701
-0.105469,-0.265625,0.995361
-0.207764,-0.447998,0.971680
-0.245117,-0.305176,0.888916
0.050293,-0.473145,0.727539
0.489502,-0.246094,0.739990
0.617432,-0.239502,0.825684
0.640137,-0.388672,0.777100
0.327393,-0.543701,0.987061
0.242920,-0.551758,0.763672
0.240967,-0.583496,0.768799
0.254150,-0.549805,0.794189
0.272461,-0.562988,0.775146
0.254395,-0.550293,0.770508
x,y,z
0.725586,-0.315186,0.703613
0.524170,-0.349854,0.588135
0.103027,-0.446289,0.732910
-0.165283,-0.377930,0.830322
-0.206299,-0.547607,0.934082
-0.120361,-0.385254,0.966553
-0.084717,-0.386475,0.953857
-0.123291,-0.428711,0.890869
-0.489014,-0.386475,0.989746
-0.076660,-0.292725,0.609375
0.536865,-0.172852,0.623779
0.694092,-0.446777,0.898193
0.557861,-0.523438,0.815186
0.346680,-0.504639,0.822021
0.220215,-0.595703,0.693359
0.218506,-0.618896,0.761719
0.234619,-0.603271,0.766113
0.226074,-0.592529,0.711426
0.226807,-0.641602,0.788086
0.230225,-0.611328,0.717285
0.230225,-0.616699,0.724365
0.220703,-0.609863,0.764648
0.218018,-0.623535,0.714600
0.227295,-0.607178,0.719727
0.224121,-0.648438,0.731201
x,y,z
0.412842,-0.625244,0.834717
0.731934,-0.532227,0.789307
0.622559,-0.256348,0.618164
0.211426,-0.343018,0.779785
-0.063477,-0.461182,0.895264
-0.249268,-0.305664,0.850098
-0.169189,-0.390625,0.971924
-0.208496,-0.441895,1.102783
-0.121338,-0.439941,0.722412
0.155029,-0.573975,0.716309
0.535400,-0.439209,0.720459
0.664551,-0.311523,0.556885
0.557129,-0.385254,0.721680
0.572510,-0.613525,0.940430
0.302490,-0.556885,0.764160
0.278809,-0.575928,0.678467
0.298340,-0.544434,0.781738
0.312256,-0.575195,0.745605
x,y,z
0.104492,-0.515381,0.721191
-0.211182,-0.408691,0.896240
-0.229004,-0.379883,0.929688
-0.094971,-0.392578,0.939941
-0.247070,-0.397217,0.936523
-0.103516,-0.491455,0.771484
0.121582,-0.478516,0.772217
0.447510,-0.391602,0.658203
0.589600,-0.340576,0.687256
0.581543,-0.520996,0.833984
0.412842,-0.532227,0.814209
0.251465,-0.593262,0.708252
0.216309,-0.602295,0.743164
0.262939,-0.601562,0.730713
x,y,z
0.679443,-0.564453,0.962891
0.788574,-0.107178,0.392090
0.368652,-0.243408,0.636963
-0.079590,-0.480469,0.804688
-0.251953,-0.361328,0.999268
-0.075684,-0.445801,0.970703
-0.108154,-0.447998,0.932617
-0.360840,-0.396484,1.073242
-0.099609,-0.390137,0.819824
0.310059,-0.481934,0.760986
0.688965,-0.204102,0.684570
0.647217,-0.459229,0.831055
0.467285,-0.495605,0.844971
0.271729,-0.574951,0.760254
0.240234,-0.580811,0.774170
0.264160,-0.564209,0.747803
0.264893,-0.627441,0.764648
x,y,z
0.433594,-0.578613,0.828125
0.691406,-0.380859,0.901367
0.667480,-0.363281,0.719727
0.289062,-0.332031,0.683838
-0.133789,-0.441895,0.764160
-0.279541,-0.357178,0.970459
-0.124023,-0.454346,0.953125
-0.157227,-0.335449,1.036133
-0.277588,-0.452637,0.951904
0.170410,-0.554199,0.724609
0.429199,-0.399170,0.662354
0.625244,-0.210693,0.626953
0.701416,-0.369385,0.633545
