x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,,,,,,,,,,,,,,,,,,,,,,,0.07373,0.23999,0.980713,,,,,,,,,,,,,,,,,,,,,,,,,0.079102,0.337891,0.962891,,,,0.097412,0.116943,0.991455,0.091553,0.137939,0.987305
,,,,,,,,,,,,,,,,,,,,,,,,0.05542,0.239502,0.966064,,,,,,,,,,,,,,,,,,,,,,,,,0.070801,0.32959,0.946533,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.053711,0.253906,0.969238,,,,,,,,,,,,,,,,,,,,,,,,,0.070557,0.346924,0.937744,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.074463,0.268066,0.958008,,,,,,,,,,,,,,,,,,,,,,,,,0.072266,0.353516,0.943115,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.071045,0.263428,0.958252,,,,,,,,,,,,,,,,,,,,,,,,,0.077881,0.343506,0.945557,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.085693,0.279297,0.967041,,,,,,,,,,,,,,,,,,,,,,,,,0.069824,0.345703,0.936279,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.083496,0.276123,0.947998,,,,,,,,,,,,,,,,,,,,,,,,,0.072266,0.349609,0.933105,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.088867,0.292236,0.948975,,,,,,,,,,,,,,,,,,,,,,,,,0.075195,0.349365,0.936768,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.093506,0.30835,0.951416,,,,,,,,,,,,,,,,,,,,,,,,,0.074463,0.355469,0.936279,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.099121,0.304932,0.950928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
