x,y,z
0.726318,0.195801,0.564453
0.722412,0.378906,0.567627
0.695557,0.256592,0.554443
0.505615,-0.363037,0.664795
0.329590,-0.446777,0.715332
0.077393,-0.706055,0.826416
-0.044922,-0.637939,0.764404
-0.035156,-1.372314,1.039062
0.011719,-0.782959,0.695557
0.018311,-0.743652,0.657959
0.006104,-0.747803,0.651855
0.012451,-0.746826,0.646973
x,y,z
0.033447,-1.301025,0.690918
0.290283,-0.772461,0.573730
0.577393,-0.204346,0.535400
0.660400,0.124512,0.563232
0.710938,0.086182,0.620605
0.782959,0.248291,0.588867
0.693359,0.490234,0.570068
0.675781,0.041504,0.521484
0.554199,-0.601318,0.577881
0.357910,-0.717285,0.527100
0.169922,-0.721680,0.719971
-0.038818,-0.662109,0.703857
0.025635,-0.903564,0.591309
0.012695,-0.703369,0.647461
0.025146,-0.750488,0.656250
0.021484,-0.760986,0.634033
x,y,z
-0.151611,-0.866211,0.664551
0.041992,-1.120850,0.612305
0.445068,-0.412598,0.646729
0.574463,0.068604,0.629395
0.660889,0.261475,0.589355
0.687744,0.359619,0.601562
0.607910,0.416504,0.618408
0.568115,-0.155518,0.518311
0.384521,-1.142822,0.617676
0.104248,-0.777100,0.650879
0.165771,-0.874512,0.653320
-0.014648,-0.695068,0.702637
-0.062744,-0.706055,0.647461
0.042236,-0.805420,0.607178
0.003662,-0.783691,0.618652
0.007080,-0.768555,0.634521
0.005615,-0.781006,0.613525
-0.000244,-0.772949,0.603516
x,y,z
0.000977,-0.772705,0.615723
-0.000977,-0.770508,0.612549
-0.024902,-0.789307,0.667725
-0.109375,-1.064453,0.712646
0.137451,-0.940186,0.599121
0.491943,-0.353271,0.519531
0.603760,0.117676,0.594238
0.697998,0.360107,0.536865
0.754639,0.370850,0.492188
0.653076,0.527100,0.572998
0.526367,0.000000,0.598145
0.407959,-0.647949,0.502197
0.181641,-1.116455,0.526123
-0.045898,-0.692871,0.733398
-0.014893,-0.369629,0.619629
-0.023682,-0.795898,0.600342
0.000732,-0.786621,0.613525
0.011719,-0.787842,0.606201
x,y,z
-0.047363,-0.808838,0.665283
-0.043457,-1.051270,0.710449
0.190674,-0.881348,0.609131
0.408691,-0.362061,0.548584
0.577637,-0.104248,0.633789
0.629639,0.249023,0.757324
0.714600,0.207031,0.624512
0.660645,0.462402,0.592285
0.652588,0.001221,0.627686
0.471924,-0.587158,0.533936
0.218506,-0.713135,0.663574
0.154785,-0.931641,0.567871
-0.030518,-1.074707,1.159668
0.028809,-0.764648,0.508057
0.029053,-0.785156,0.568848
0.046387,-0.817383,0.566162
0.043457,-0.799316,0.572266
x,y,z
0.079346,-0.855957,0.578369
-0.053467,-1.078857,0.629883
0.167969,-1.005371,0.529541
0.572510,-0.412842,0.521973
0.603271,0.062500,0.503418
0.708984,0.324463,0.569336
0.705566,0.318359,0.529541
0.666504,0.235352,0.582275
0.797852,0.049316,0.427002
0.404053,-0.539795,0.477539
0.051025,-1.189453,0.628662
0.079834,-0.860352,0.743164
0.110107,-0.921143,0.639893
0.113770,-0.773193,0.574951
0.060059,-0.782959,0.581055
0.065674,-0.809814,0.559814
0.095215,-0.806885,0.574951
0.068604,-0.784424,0.565186
0.097168,-0.820312,0.566650
x,y,z
0.074463,-0.804443,0.564453
0.088867,-0.803467,0.578125
0.077148,-0.803955,0.579102
-0.146729,-0.960938,0.666260
0.196289,-0.970703,0.625000
0.527100,-0.440186,0.607178
0.595947,0.177490,0.552979
0.734131,0.389404,0.491211
0.768799,0.394775,0.493164
0.697266,0.501221,0.514648
0.592041,0.023438,0.583252
0.248535,-0.459473,0.589111
0.202637,-0.724121,0.884766
0.135986,-0.620850,0.823975
-0.040527,-0.508789,0.714111
0.041992,-0.941895,0.605225
0.007080,-0.666504,0.696777
0.049072,-0.737793,0.668457
x,y,z
0.025635,-0.747559,0.661621
0.031494,-0.742432,0.671387
-0.006104,-0.738525,0.769287
-0.032959,-1.263184,0.677979
0.269531,-0.623779,0.545898
0.603516,-0.063477,0.582031
0.672119,0.224609,0.537842
0.747070,0.375488,0.517578
0.770996,0.388672,0.547119
0.710938,0.262695,0.525879
0.651367,0.041260,0.534424
0.336914,-0.653320,0.553223
0.213135,-0.865234,0.748291
0.004150,-0.751465,0.831787
0.104980,-0.725342,0.619629
0.022217,-0.716553,0.613037
0.064453,-0.826904,0.540771
0.034668,-0.810303,0.547363
x,y,z
0.033936,-0.822998,0.544189
0.025635,-0.843018,0.612793
0.045410,-1.117432,0.594727
0.190430,-0.948242,0.554688
0.461670,-0.481934,0.552246
0.562744,0.094482,0.565674
0.719482,0.313477,0.571045
0.776367,0.228027,0.569824
0.714600,0.477783,0.560547
0.596680,0.179199,0.579102
0.487793,-0.834473,0.438721
0.276123,-0.816650,0.573730
0.078369,-0.956543,0.510010
0.040039,-0.819824,0.564697
0.075439,-0.736328,0.535156
0.116699,-0.878174,0.509766
0.104980,-0.860352,0.493408
0.092041,-0.855469,0.504395
0.088135,-0.837158,0.510986
0.087891,-0.834229,0.513184
x,y,z
0.073242,-0.828125,0.518066
0.091064,-0.839111,0.523438
0.027588,-1.187500,0.594727
0.104492,-0.953613,0.611328
0.405518,-0.663330,0.583008
0.554199,-0.212158,0.627686
0.626221,0.168457,0.615234
0.712891,0.297363,0.618408
0.720703,0.348877,0.575439
0.695068,0.289307,0.573242
0.618408,-0.402100,0.473633
0.364746,-0.392334,0.647949
0.273682,-1.001465,0.606445
0.135986,-0.854248,0.560303
0.022217,-0.813965,0.537109
0.066162,-0.601807,0.525391
0.066895,-0.849121,0.484375
0.096924,-0.870605,0.479736
0.081299,-0.862549,0.479004
x,y,z
0.018555,-1.160156,0.415527
0.114258,-1.142334,0.454834
0.448486,-0.525146,0.449707
0.596436,0.064697,0.533691
0.694824,0.283936,0.591309
0.754883,0.317627,0.550537
0.732178,0.436279,0.555176
0.738770,0.202393,0.555176
0.601807,-0.372314,0.570801
0.396973,-0.665039,0.541260
0.295654,-0.805664,0.690430
0.060303,-0.929688,0.612793
0.081543,-0.717773,0.508545
0.070068,-0.822021,0.552734
0.115723,-0.854736,0.512695
0.069336,-0.842285,0.501221
0.086670,-0.853271,0.517822
x,y,z
0.362305,-0.477539,0.636475
0.577881,-0.040283,0.607178
0.699219,0.342529,0.502930
0.747070,0.387451,0.504395
0.747803,0.427002,0.495605
0.698242,0.435547,0.387939
0.584961,-0.282471,0.601074
0.372559,-0.518311,0.707520
0.235596,-0.771973,0.674072
0.125244,-0.955811,0.551270
0.045166,-0.574951,0.535156
0.048828,-0.807861,0.556396
0.065186,-0.818359,0.552490
0.061279,-0.806641,0.555420
0.061768,-0.823730,0.536865
x,y,z
0.067627,-0.825195,0.579102
-0.023682,-1.229736,0.495117
0.170898,-0.931396,0.496582
0.544922,-0.346680,0.507324
0.690674,-0.004883,0.536133
0.713379,0.281494,0.549561
0.786133,0.261475,0.546387
0.726318,0.546143,0.515381
0.615967,-0.005615,0.583252
0.608643,-0.416016,0.578369
0.294678,-0.763428,0.452637
0.178467,-1.115234,0.337646
0.059082,-0.817383,0.524902
0.054688,-0.938477,0.565674
0.067383,-0.802002,0.565674
0.095947,-0.828125,0.560059
0.063965,-0.819092,0.538330
x,y,z
0.369385,-0.821289,0.511719
0.526855,-0.447510,0.524658
0.672363,0.176514,0.528809
0.716309,0.339111,0.606201
0.738037,0.266113,0.525879
0.637207,0.382080,0.600098
0.693604,-0.104248,0.516846
0.424561,-0.655518,0.500488
0.274170,-0.932129,0.450684
0.226562,-0.864502,0.461182
0.082764,-0.856689,0.491211
0.085449,-1.576172,0.437256
0.050537,-0.854492,0.462646
0.071045,-0.853027,0.478271
0.068604,-0.855957,0.494141
0.068604,-0.857666,0.473877
0.074219,-0.854736,0.489990
0.055420,-0.847412,0.491211
0.067871,-0.854492,0.489746
0.066650,-0.852783,0.488770
x,y,z
0.058105,-0.853760,0.505127
0.059326,-0.840576,0.517822
-0.064697,-0.992920,0.537842
0.069824,-1.004150,0.591309
0.347412,-0.741211,0.574707
0.550049,-0.328857,0.586914
0.625000,0.073975,0.618408
0.637451,0.293945,0.650391
0.673340,0.366943,0.629395
0.662598,0.128906,0.614746
0.634277,-0.227295,0.571045
0.541260,-0.685303,0.584229
0.339355,-0.503906,0.723389
0.089844,-1.012451,0.634521
0.014648,-0.768311,0.640381
0.007812,-0.759277,0.567383
0.046143,-0.841797,0.549316
0.024414,-0.828125,0.536377
0.036621,-0.836426,0.529541
x,y,z
-0.100098,-0.872803,0.541992
0.031250,-1.193848,0.582031
0.337402,-0.714355,0.558105
0.521729,-0.156738,0.607666
0.636475,0.196289,0.621826
0.717285,0.346924,0.562256
0.729736,0.304932,0.532715
0.616455,0.408936,0.437988
0.458984,-0.427002,0.616455
0.216309,-0.822754,0.713867
0.135986,-0.894043,0.634033
0.003174,-0.862549,0.595215
0.095459,-0.766846,0.431152
0.034912,-0.798340,0.552002
0.027588,-0.843750,0.517090
0.031982,-0.843018,0.516113
0.025391,-0.843750,0.504883
x,y,z
0.019531,-0.850098,0.552734
-0.111084,-1.200195,0.488525
0.210449,-0.922363,0.572021
0.488770,-0.472412,0.552002
0.624756,-0.032227,0.566406
0.645508,0.227295,0.594727
0.755371,0.224121,0.553955
0.661377,0.495605,0.585449
0.585938,-0.128174,0.521973
0.281494,-0.675293,0.625977
0.080566,-1.035400,0.747559
0.106201,-0.834473,0.658447
0.029785,-1.446777,0.435547
0.071045,-0.838379,0.500244
0.034180,-0.875488,0.488770
0.049805,-0.850098,0.496582
x,y,z
0.065430,-0.863525,0.482910
0.039551,-0.857178,0.479004
0.061035,-0.851807,0.494141
0.076172,-0.793457,0.524902
-0.005859,-1.257324,0.569824
0.280518,-0.674072,0.529053
0.575439,-0.284424,0.545410
0.679688,0.246582,0.562744
0.692383,0.316895,0.605713
0.666016,0.419434,0.500977
0.612061,0.334961,0.509277
0.473877,-0.556152,0.580811
0.359619,-0.901855,0.698975
0.205811,-0.689697,0.580566
0.026123,-1.030518,0.636230
-0.034424,-1.243164,0.681885
0.040283,-0.830566,0.499756
0.023438,-0.841064,0.539795
0.022217,-0.828613,0.519775
0.021240,-0.836182,0.511230
x,y,z
0.083496,-0.903076,0.467041
-0.153564,-0.767090,0.571533
0.075439,-1.089111,0.505615
0.405273,-0.705078,0.426025
0.631836,-0.320068,0.422607
0.742432,-0.044678,0.546875
0.710693,0.272949,0.653076
0.739258,0.207520,0.569824
0.695801,0.314209,0.553223
0.635498,-0.368896,0.554443
0.479248,-0.428223,0.585205
0.117432,-0.967041,0.664551
0.102539,-0.775391,0.636475
-0.054688,-0.880371,0.599365
-0.031006,-0.839600,0.623291
0.000732,-0.785645,0.550293
0.009521,-0.826416,0.520020
0.024658,-0.868896,0.513428
x,y,z
0.015869,-0.827881,0.543701
-0.001221,-0.863525,0.581787
-0.046875,-1.232666,0.404053
0.160645,-1.066162,0.466309
0.372803,-0.629883,0.456787
0.577637,-0.179688,0.547363
0.694092,0.237549,0.641357
0.729980,0.168701,0.604004
0.706055,0.418457,0.603760
0.677734,0.105225,0.588379
0.562256,-0.564697,0.495117
0.122559,-0.797119,0.659180
0.098389,-0.832520,0.607178
0.052246,-0.852783,0.603271
-0.066895,-0.850830,0.560791
0.051514,-0.895020,0.460693
0.044434,-0.861572,0.501465
0.038086,-0.845215,0.483154
x,y,z
0.024414,-0.854980,0.500244
0.043213,-0.854492,0.511963
-0.004150,-0.836670,0.515137
-0.027588,-0.840332,0.660645
0.017578,-1.372314,0.429688
0.405273,-0.736816,0.485352
0.639404,-0.302490,0.487793
0.678955,0.096924,0.530029
0.715332,0.264893,0.582031
0.735352,0.216309,0.527100
0.730957,0.528076,0.499756
0.710938,0.210693,0.440674
0.358154,-0.589600,0.640869
0.219238,-0.835693,0.631104
0.058350,-0.913818,0.653076
0.047363,-0.788330,0.577881
-0.048096,-1.023193,0.651123
0.025146,-0.816895,0.552979
0.017578,-0.820557,0.527588
0.006104,-0.828369,0.552246
0.007812,-0.820312,0.530029
x,y,z
0.543213,-0.388916,0.628174
0.582764,0.046631,0.590332
0.658936,0.372070,0.584473
0.711914,0.303711,0.589355
0.674805,0.582031,0.569336
0.650635,-0.089600,0.618652
0.489990,-0.399902,0.686768
0.334961,-0.686523,0.781250
0.077148,-0.645264,0.757080
0.024414,-0.632568,0.789062
0.067871,-0.489014,0.626465
-0.000732,-0.857422,0.489990
-0.000244,-0.829590,0.555664
-0.012939,-0.792969,0.594971
-0.004395,-0.816162,0.555664
x,y,z
-0.017334,-0.850342,0.572021
-0.029541,-1.105225,0.517822
0.148193,-0.848633,0.601807
0.454346,-0.402832,0.614258
0.587891,-0.041260,0.583984
0.672363,0.279541,0.634277
0.739258,0.199707,0.644775
0.633789,0.442139,0.619141
0.653320,0.058594,0.601318
0.489014,-0.461914,0.498047
0.213623,-0.645996,0.813232
0.115723,-0.708984,0.757080
0.050781,-0.784424,0.720703
-0.006348,-1.153320,0.622070
0.015137,-0.774414,0.610840
0.013916,-0.757324,0.593262
-0.007324,-0.768066,0.610352
0.003174,-0.784912,0.611572
x,y,z
0.003418,-1.128662,0.621826
0.223633,-0.898438,0.629883
0.510986,-0.395264,0.585938
0.629883,-0.028809,0.659912
0.642090,0.186035,0.674805
0.725342,0.242920,0.576660
0.623779,0.507812,0.612793
0.689209,-0.137695,0.649414
0.595459,-0.332764,0.512207
0.388184,-0.941650,0.562012
0.151123,-0.652344,0.781738
0.006348,-0.788330,0.716553
0.017822,-0.778564,0.687500
0.013428,-0.729248,0.657227
-0.001953,-0.774414,0.608398
0.007080,-0.777832,0.613281
0.000000,-0.775635,0.600098
x,y,z
0.345703,-0.672852,0.540039
0.548828,-0.121094,0.599121
0.595947,0.107178,0.691406
0.717285,0.177490,0.655029
0.699707,0.340332,0.634766
0.677734,0.329346,0.556396
0.564697,-0.292236,0.653076
0.361572,-0.729248,0.735596
0.158936,-0.675537,0.651123
0.030518,-0.908447,0.671631
0.029297,-0.748047,0.645508
-0.025146,-0.776611,0.568115
-0.005859,-0.804688,0.578369
-0.009033,-0.803711,0.577393
0.001953,-0.814453,0.570801
0.000732,-0.789795,0.576660
x,y,z
-0.111816,-0.929443,0.628174
-0.039551,-1.023438,0.604736
0.313477,-0.680420,0.604004
0.546387,-0.309570,0.605469
0.609863,0.006348,0.647949
0.658936,0.296387,0.651611
0.672607,0.311768,0.577881
0.746094,0.439941,0.592773
0.492188,-0.593750,0.591309
0.315430,-0.647217,0.636719
0.322998,-1.003174,0.568359
0.137939,-0.687988,0.644775
0.010254,-0.770752,0.663574
0.083740,-0.630371,0.590576
-0.014160,-0.813232,0.560791
0.000977,-0.814209,0.551025
0.000977,-0.822754,0.553955
0.002930,-0.813721,0.558105
0.008057,-0.804199,0.570557
0.008301,-0.813721,0.554688
x,y,z
0.003906,-0.815186,0.559082
0.031006,-0.836670,0.548584
-0.084717,-0.767334,0.537598
0.052246,-1.223633,0.536621
0.308105,-0.666504,0.469971
0.548340,-0.187012,0.550781
0.658447,0.232666,0.554932
0.717285,0.328613,0.608154
0.715576,0.421387,0.569824
0.720459,0.238525,0.534424
0.583008,-0.209229,0.612061
0.445312,-0.805664,0.613281
0.183350,-0.613770,0.638672
0.001709,-0.957520,0.532471
0.038818,-0.810303,0.477539
0.020020,-0.900879,0.486816
0.043945,-0.869141,0.523438
0.023193,-0.844482,0.505859
0.018066,-0.854492,0.504150
0.019287,-0.842041,0.504639
x,y,z
0.031494,-0.843750,0.509033
0.023193,-0.850586,0.501953
0.043213,-0.853760,0.506104
0.025635,-0.830566,0.539795
-0.074951,-1.324951,0.511475
0.099854,-0.998535,0.549805
0.461670,-0.368164,0.604980
0.610352,0.050781,0.539062
0.692139,0.353271,0.582764
0.773682,0.215088,0.567627
0.656982,0.514404,0.604004
0.646729,-0.072998,0.582520
0.480957,-0.826904,0.546875
0.369141,-0.629395,0.612061
0.187012,-0.790771,0.532959
0.023438,-1.075928,0.549072
0.058838,-1.396240,0.545654
0.011963,-0.820312,0.527344
0.028564,-0.844238,0.514893
0.001953,-0.814941,0.533203
0.041016,-0.844238,0.518555
0.037354,-0.844727,0.518799
x,y,z
0.029297,-0.858643,0.480225
0.072510,-0.841797,0.533936
-0.005859,-0.730469,0.465576
0.089844,-1.347656,0.541504
0.308838,-0.637939,0.411377
0.589111,-0.200195,0.484131
0.689209,0.462402,0.557373
0.789062,0.188477,0.602051
0.711914,0.311035,0.587158
0.781982,0.288330,0.524658
0.645996,-0.261230,0.498535
0.354980,-0.407959,0.722412
0.285400,-0.992432,0.447510
0.048584,-0.900635,0.511230
-0.018555,-0.827393,0.463623
-0.028809,-0.749268,0.487061
0.060547,-0.873047,0.456299
0.072998,-0.887939,0.435547
0.041504,-0.871094,0.472412
x,y,z
0.030518,-0.863525,0.483887
0.024658,-0.867676,0.477539
0.011963,-0.838867,0.530029
0.008545,-1.310059,0.402100
0.186768,-0.958740,0.440918
0.541992,-0.445801,0.435791
0.642822,0.002197,0.561768
0.708008,0.318848,0.597412
0.735107,0.184570,0.595459
0.714844,0.430420,0.630859
0.628662,-0.027588,0.522705
0.544434,-0.391846,0.575195
0.354248,-0.836426,0.685547
0.153076,-0.757324,0.686523
0.081299,-0.802246,0.620361
0.101318,-0.791260,0.478516
0.111328,-1.020020,0.414307
0.077637,-0.861572,0.422363
0.097900,-0.913086,0.402344
0.090332,-0.884277,0.397217
0.087402,-0.887939,0.423340
x,y,z
0.073975,-1.251221,0.330078
0.157227,-1.000000,0.415771
0.519531,-0.467285,0.509766
0.623779,0.148926,0.584229
0.710205,0.278809,0.533691
0.760986,0.225830,0.540283
0.754883,0.415039,0.575684
0.647217,0.285889,0.477051
0.511475,-0.555664,0.601074
0.374268,-0.766602,0.518066
0.187744,-0.984131,0.494873
0.105469,-0.858643,0.542480
0.096436,-0.397705,0.443848
0.037598,-0.766846,0.562988
0.068848,-0.888916,0.478027
0.038574,-0.869141,0.480225
0.038330,-0.857422,0.493164
x,y,z
0.010986,-1.442871,0.509277
0.166016,-0.858154,0.561768
0.487793,-0.363525,0.506104
0.640625,0.048340,0.577393
0.685303,0.282471,0.606201
0.729980,0.279053,0.605713
0.686523,0.462891,0.599365
0.604492,0.038086,0.505371
0.457275,-0.413818,0.754395
0.246094,-0.805420,0.577637
0.142822,-1.014893,0.590332
0.087158,-0.827881,0.506104
0.106934,-1.085693,0.368164
0.062744,-0.843506,0.506592
0.102783,-0.890137,0.446777
0.081299,-0.873291,0.446533
0.074951,-0.877441,0.437256
0.079346,-0.877441,0.446533
x,y,z
0.079102,-0.871094,0.470215
0.068604,-0.856689,0.454590
0.066406,-0.906006,0.537598
