varx, stdx, skewx, minx, maxx , avgx,vary,stdy,skewy,miny,maxy,avgy,varz,stdz,skewz,minz,maxz,avgz,CLASS 
0.101852782,0.319143826,-0.169560124,-0.788574,0.148438,-0.268023235,0.034166384,0.184841511,0.494929065,0.157471,0.805908,0.421271824,0.059598695,0.244128439,-0.146821095,0.403809,1.03833,0.741124765,1
0.096876144,0.311249328,-0.421822736,-0.775879,0.078125,-0.253983421,0.059344118,0.243606481,1.594432869,0.183838,1.060791,0.376439105,0.06594502,0.256797625,-0.109745811,0.429199,1.178955,0.790077579,1
0.111974179,0.33462543,-0.336432745,-0.875488,0.105469,-0.267950842,0.014392357,0.119968152,-0.170999105,0.210693,0.674072,0.460796211,0.066879122,0.25860998,-0.159866113,0.399902,1.080078,0.739219263,1
0.075245659,0.274309421,-0.896075786,-0.74292,0.104492,-0.129709917,0.056243537,0.237157199,0.121557033,0.05957,0.80835,0.383606,0.048149612,0.219430198,-0.459648891,0.408691,1.213379,0.828267417,1
0.097454015,0.312176257,-1.181610468,-0.807617,0.136963,-0.122514121,0.023510454,0.153331189,1.729979285,0.173828,0.920898,0.396573182,0.040293348,0.200732031,-0.95137579,0.437988,1.068604,0.83633697,1
0.104051047,0.322569445,-0.760010138,-0.787842,0.108398,-0.185491318,0.037038171,0.192453036,0.173249714,-0.030518,0.638428,0.267134318,0.037799912,0.194421995,-0.637904066,0.515381,1.124756,0.852672318,1
0.094165214,0.306863511,0.385064097,-0.633545,0.420898,-0.1897096,0.026994712,0.164300677,-0.601312773,-0.287842,0.270996,0.0538574,0.027330961,0.165320783,-0.853453203,0.571533,1.136719,0.94074715,2
0.08284726,0.287832,0.332430011,-0.747314,0.432861,-0.19509275,0.012260825,0.110728611,0.382840027,0.092041,0.463623,0.25606685,0.015196556,0.123274313,-1.083760831,0.647949,1.073486,0.9169188,2
0.084122683,0.290039107,0.196411634,-0.670654,0.294434,-0.179687421,0.009872882,0.099362375,-1.30025404,-0.012207,0.429688,0.293906789,0.011692262,0.108130764,-1.213169044,0.598877,1.056885,0.903615789,2
0.059507276,0.243941133,0.625041616,-0.471924,0.292725,-0.154401476,0.006423156,0.080144594,-1.821004743,-0.024414,0.35376,0.254231905,0.00342255,0.058502568,-0.688272283,0.806641,1.031982,0.934198238,2
0.056034572,0.236716227,0.344515784,-0.48999,0.257812,-0.1852051,0.004714779,0.068664252,-0.769174076,0.061768,0.351318,0.2421998,0.005736271,0.075738172,0.475536646,0.812256,1.087646,0.93428955,2
0.071516162,0.267425059,0.429609766,-0.593018,0.34082,-0.190365526,0.007033391,0.083865317,0.464435016,0.155029,0.458252,0.285734474,0.006845984,0.082740463,0.269296538,0.743164,1.08374,0.906507,2
0.049467364,0.222412598,0.185212839,-0.575195,0.15918,-0.201532238,0.00530579,0.072840855,0.109055339,0.246826,0.516846,0.360560905,0.00548566,0.074065244,0.263630548,0.768555,1.079834,0.908644905,2
0.047840495,0.218724702,0.17448375,-0.667725,0.346436,-0.189788833,0.00892159,0.094454167,-0.420388227,0.126221,0.504395,0.334645625,0.006070945,0.077916268,1.414196944,0.781982,1.159424,0.908233667,2
0.039272136,0.198171985,-0.121280476,-0.576172,0.175293,-0.1961005,0.007798766,0.088310622,0.497420327,0.129883,0.451172,0.277044136,0.010558358,0.102753873,-0.051475221,0.746094,1.12793,0.921486773,2
0.053463258,0.231221231,0.531504636,-0.450928,0.301025,-0.152626368,0.008603676,0.092756002,-0.963979908,0.010742,0.448975,0.276161579,0.004138897,0.064334258,0.653912387,0.847412,1.089844,0.938322316,2
0.061031797,0.247046144,0.402689652,-0.537354,0.186279,-0.224839176,0.010266832,0.101325377,0.168181208,0.089355,0.518555,0.308823412,0.005170502,0.071906206,0.584181615,0.811768,1.056641,0.904411765,2
0.04049307,0.201228899,0.247251914,-0.490479,0.149414,-0.2132015,0.010878986,0.104302376,0.276358785,0.087402,0.419434,0.247958091,0.005005084,0.070746621,0.414937528,0.793945,1.116211,0.934525909,2
0.053960497,0.232293987,0.356187319,-0.559326,0.218994,-0.185411167,0.010453339,0.102241573,-0.347885062,-0.010742,0.333008,0.174384222,0.007361919,0.085801629,0.195723512,0.799805,1.140625,0.939819333,2
0.052433289,0.228983162,0.507272808,-0.585938,0.269287,-0.238691909,0.00640119,0.080007434,-1.000473187,0.047363,0.364258,0.248923591,0.007261271,0.08521309,-0.262662676,0.765137,1.077393,0.925326364,2
0.061385184,0.247760335,0.217341385,-0.67334,0.247559,-0.19478755,0.004345389,0.065919563,0.070525965,0.147949,0.470703,0.3103149,0.008070383,0.089835312,-0.831132501,0.693848,1.026855,0.9125488,2
0.065295731,0.255530294,0.114074811,-0.532715,0.203613,-0.163655667,0.010782695,0.103839758,-0.075312753,0.072754,0.437256,0.248114722,0.006734059,0.082061312,-0.263510932,0.769287,1.039307,0.932020444,2
0.079701436,0.282314427,0.224751703,-0.625732,0.321289,-0.179486471,0.005995769,0.077432354,-0.226288322,0.071533,0.421631,0.247400529,0.005173061,0.071923997,-0.502331006,0.7771,1.025146,0.926212,2
