x,y,z
0.238770,-1.073486,-0.506592
0.199463,-0.669678,0.372803
0.168457,-0.377930,0.933105
0.206055,-0.514893,0.824463
0.184814,-0.447510,0.879150
0.192139,-0.481689,0.841309
0.193359,-0.481201,0.837646
x,y,z
0.183594,-0.416260,0.798340
0.345947,-1.179199,-0.691650
0.243652,-0.739746,-0.603027
0.275146,-0.707520,-0.712646
0.249023,-0.814209,-0.664795
0.290527,-1.027588,-0.184082
0.128418,-0.121582,0.721680
0.176758,-0.248047,0.958008
0.168213,-0.353027,0.909180
0.159180,-0.338379,0.922607
0.178955,-0.376953,0.902588
x,y,z
0.211426,-0.810547,-0.109619
0.213867,-0.722900,-0.657959
0.302979,-0.655029,-0.714111
0.231445,-0.666504,-0.746826
0.308838,-0.916992,-0.611816
0.173828,-0.717529,0.375244
0.132568,-0.345947,0.867188
0.153076,-0.280518,0.916504
0.169678,-0.339844,0.922363
0.172119,-0.415039,0.864014
0.173340,-0.377930,0.899414
x,y,z
0.239746,-0.221191,0.796387
0.210938,-0.145020,0.819580
0.302734,-0.885986,-0.638184
0.254639,-0.708740,-0.801514
0.256348,-0.638672,-0.838623
0.283447,-0.860840,-0.596436
0.187012,-0.703369,0.356934
0.079346,-0.372803,0.891113
0.197510,-0.448242,0.818359
0.178955,-0.601562,0.820801
0.205322,-0.518799,0.781494
0.180664,-0.572510,0.829834
x,y,z
0.185303,-0.460938,0.826172
0.178223,-0.351562,0.843262
0.069336,-0.377930,0.339111
0.120605,-0.789795,-0.438232
0.163818,-0.832275,-0.594238
0.186768,-0.883057,-0.576172
0.194336,-1.009766,-0.503418
0.144775,-0.731934,0.290771
0.050293,-0.381348,0.886230
0.149170,-0.454102,0.858398
0.122559,-0.528076,0.856201
0.136719,-0.521973,0.813721
0.135254,-0.543213,0.830566
x,y,z
0.153809,-0.888184,0.044678
0.256592,-0.676270,-0.800781
0.231689,-0.614990,-0.875000
0.239746,-0.535400,-0.843506
0.265381,-0.740967,-0.750000
0.202393,-0.925049,-0.056152
0.096680,-0.181641,0.860596
0.077148,-0.127686,1.036377
0.146240,-0.306641,0.918945
0.116455,-0.326660,0.911865
0.156250,-0.338623,0.919678
0.113770,-0.336182,0.933105
x,y,z
0.129883,-0.416748,0.916748
0.130859,-0.380127,0.884277
0.129639,-0.327637,0.868164
0.035889,-0.162842,0.917725
0.216064,-1.061035,-0.499512
0.157715,-0.674316,-0.657959
0.220215,-0.684570,-0.812256
0.182373,-0.857422,-0.798096
0.184082,-0.914551,-0.204102
0.092529,-0.358643,0.745117
0.087158,-0.257324,0.930176
0.099121,-0.393799,0.901855
0.111328,-0.419922,0.894043
0.109863,-0.416992,0.893066
x,y,z
0.083252,-0.263184,0.893555
0.147949,-0.998535,-0.459717
0.226074,-0.875000,-0.593994
0.183594,-0.945068,-0.613037
0.157227,-0.802246,-0.495361
0.138428,-0.980225,-0.240967
0.078857,-0.277100,0.839355
0.107666,-0.364502,0.910645
0.104004,-0.501221,0.877197
0.120850,-0.501953,0.858887
0.100586,-0.496338,0.848633
x,y,z
0.080078,-0.386719,0.875977
0.023926,-0.328613,0.713867
0.275146,-1.152100,-0.506592
0.149658,-0.681152,-0.727051
0.194336,-0.650391,-0.812500
0.209229,-0.850586,-0.744873
0.162598,-0.821777,0.070557
0.106689,-0.299805,0.756836
0.065918,-0.396484,0.902344
0.091064,-0.381836,0.927979
0.079102,-0.395508,0.913574
0.086182,-0.403564,0.879883
0.075928,-0.411621,0.898193
x,y,z
0.077637,-0.406006,0.885742
0.049805,-0.326416,0.967041
0.118408,-0.918457,0.015381
0.166016,-0.809570,-0.563477
0.196045,-0.786621,-0.734863
0.191406,-0.730713,-0.689697
0.207764,-1.090820,-0.543701
0.004883,-0.555420,0.524170
0.069092,-0.285400,0.936768
0.067383,-0.382324,0.909912
0.095459,-0.331055,0.920410
0.058594,-0.384521,0.926025
0.079346,-0.404297,0.892334
x,y,z
0.066162,-0.395996,0.632568
0.258789,-1.028076,-0.723145
0.210938,-0.811279,-0.676514
0.209961,-0.762695,-0.658691
0.236572,-0.885498,-0.594971
0.097656,-0.691650,0.354248
0.094238,-0.377930,0.840332
0.116211,-0.451416,0.884033
0.143799,-0.425293,0.880859
0.111084,-0.458984,0.873291
0.146484,-0.498535,0.847656
x,y,z
-0.021240,-0.242676,0.901367
0.003906,-0.193115,0.976074
-0.059570,0.016846,0.979492
0.281006,-1.091309,-0.619629
0.205322,-0.705566,-0.691895
0.256592,-0.729980,-0.829590
0.278564,-0.780762,-0.710205
0.164551,-0.726074,0.052246
0.054932,-0.312744,0.889893
0.039795,-0.351074,0.929443
0.074951,-0.427002,0.905029
0.068115,-0.462891,0.852539
0.086670,-0.442383,0.873535
0.078857,-0.464844,0.861084
0.048584,-0.457764,0.862061
0.095459,-0.542969,0.842529
0.086426,-0.500977,0.844971
x,y,z
0.174805,-0.776611,-0.661377
0.176270,-0.670654,-0.784668
0.155762,-0.645752,-0.752686
0.256348,-0.933105,-0.762939
0.110596,-0.743652,0.294434
0.074707,-0.190430,1.006104
0.082764,-0.284912,0.931641
0.117432,-0.382568,0.886475
0.109131,-0.407227,0.905518
0.111816,-0.428467,0.880859
x,y,z
0.092773,-0.909912,-0.499512
0.211182,-0.761963,-0.835693
0.190430,-0.683350,-0.776367
0.198242,-0.837158,-0.756348
0.212646,-0.966309,-0.010742
0.088623,-0.298584,0.814209
0.087158,-0.279053,0.977539
0.084229,-0.398438,0.913330
0.095703,-0.374268,0.895020
x,y,z
0.085938,-0.447510,0.896484
0.087646,-0.437988,0.902832
0.087891,-0.413086,0.897217
0.018799,-0.217773,0.776123
0.120117,-0.887939,-0.476562
0.263428,-0.767090,-0.711426
0.238281,-0.691406,-0.698486
0.236816,-0.862305,-0.687012
0.197754,-1.045410,-0.153320
0.074951,-0.292725,0.904053
0.098633,-0.446777,0.903809
0.123779,-0.464600,0.857666
0.106934,-0.481201,0.865234
0.104980,-0.501465,0.836426
0.099609,-0.475586,0.855957
x,y,z
-0.029297,-0.016602,0.525391
0.148926,-0.933838,-0.390137
0.221436,-0.946289,-0.599121
0.177734,-0.838867,-0.655273
0.140625,-1.043213,-0.120361
0.090576,-0.276855,0.890625
0.123535,-0.445557,0.879639
0.160400,-0.519287,0.849365
0.156006,-0.494873,0.845703
0.169678,-0.450439,0.859131
x,y,z
0.140869,-0.424561,0.875977
-0.006836,-0.111084,0.458740
0.287598,-0.634766,-0.892578
0.270264,-0.463867,-0.907959
0.263428,-0.680664,-0.956787
0.165771,-0.622070,-0.349609
0.104492,-0.205322,0.956787
0.113770,-0.473633,0.857910
0.157471,-0.519287,0.838623
0.188965,-0.529785,0.805908
x,y,z
0.149902,-0.448975,0.873535
0.141357,0.046631,0.880615
0.203857,-1.022705,-0.769287
0.293213,-0.571045,-0.970459
0.297363,-0.469727,-0.906006
0.303467,-0.721924,-0.893799
0.239258,-0.708496,-0.081543
0.140381,-0.409912,0.773193
0.008301,-0.181885,0.982910
0.159424,-0.466553,0.845703
0.134277,-0.391846,0.923584
x,y,z
0.159912,-0.469238,0.867676
0.123779,-0.315186,0.849365
0.156006,-0.951904,-0.223145
0.233887,-0.684570,-0.699463
0.209229,-0.498779,-0.934814
0.260498,-0.530029,-0.951416
0.274170,-0.996338,-0.402588
0.116943,-0.447510,0.715576
0.068115,-0.288086,0.950195
0.152100,-0.342773,0.893066
0.136719,-0.397705,0.878418
0.162598,-0.414307,0.875732
x,y,z
0.492676,-1.343018,-0.930176
0.314697,-0.637939,-0.851074
0.272217,-0.570801,-0.815918
0.302979,-0.706299,-0.789307
0.258545,-0.957275,-0.323486
0.005127,0.031250,1.001709
0.047363,-0.128174,1.017334
0.083740,-0.348389,0.892334
0.129883,-0.351807,0.924072
0.093994,-0.329346,0.939453
0.124756,-0.380127,0.930908
0.098877,-0.351807,0.918213
x,y,z
0.115723,-0.359863,0.943604
0.120850,-0.350098,0.923584
0.110107,-0.218994,0.940918
0.044922,-0.795898,-0.587891
0.269287,-0.715332,-0.723145
0.221436,-0.646973,-0.757812
0.267090,-0.812744,-0.754150
0.255127,-0.959961,-0.373047
0.043701,-0.411133,0.541260
0.085205,-0.290771,0.952881
0.113525,-0.337891,0.920898
0.108398,-0.373047,0.879395
