x,y,z
0.476074,-0.914062,0.131592
0.473145,-0.855225,-0.059814
0.420654,-0.891602,-0.221436
0.318115,-0.960449,-0.246826
0.216553,-0.909424,-0.203369
0.216064,-0.959229,0.012207
0.305664,-0.791504,0.102539
0.475586,-0.970215,0.142578
0.484863,-0.854492,0.189209
0.614014,-0.931396,0.046875
0.536621,-0.869385,-0.125977
0.468018,-0.832764,-0.081787
0.397705,-0.870605,0
0.443359,-0.851562,0.054932
0.501709,-0.809326,0.035889
0.522705,-0.812744,0.008301
x,y,z
0.356445,-0.850342,0.000732
0.508789,-0.925293,0.173584
0.570801,-0.928711,0.151123
0.549316,-0.943848,-0.02417
0.3479,-0.86499,-0.081787
0.324463,-0.931885,-0.023193
0.245117,-0.93335,0.003662
0.16333,-0.971191,-0.115723
0.203613,-0.922119,-0.020752
0.193115,-0.884766,0.102051
0.435547,-0.910645,0.129883
0.551758,-1.04541,0.185303
0.548828,-0.967773,0.099609
0.486328,-0.794678,0.000488
0.392578,-0.90625,-0.05127
0.355225,-0.901855,0.017822
0.439697,-0.865234,0.050049
x,y,z
0.244141,-0.863525,-0.369629
0.169922,-0.947021,-0.132812
0.308105,-0.880371,0.005859
0.4375,-0.845703,0.126953
0.68042,-0.887695,0.104248
0.640869,-0.800293,0.062988
0.447998,-0.708252,0.008057
0.351318,-0.992432,-0.098877
0.260498,-0.88208,-0.058105
0.268799,-0.95166,-0.144531
0.287598,-0.968994,0.020264
0.298584,-0.888184,-0.01709
0.46875,-0.872559,-0.002441
0.52417,-0.975098,0.057617
0.576172,-0.864258,0.047852
0.576416,-0.849609,-0.081299
0.44165,-0.82251,-0.134277
0.353271,-0.847412,0.030762
0.373779,-0.900879,0.182373
0.491943,-0.830322,0.134521
0.500977,-0.839355,0.054199
0.518311,-0.831055,0.037109
0.500488,-0.838135,0.043701
0.49707,-0.844727,0.02124
x,y,z
0.480713,-0.84375,-0.006104
0.607422,-0.828369,-0.026855
0.503906,-0.858643,-0.27124
0.295898,-0.885986,-0.25415
0.201172,-0.969238,-0.14917
0.261719,-0.850586,0.046143
0.442627,-0.924805,0.087158
0.552246,-1.018066,0.128418
0.644531,-0.851074,0.108887
0.668701,-0.776611,-0.060303
0.554199,-0.918701,-0.14209
0.342285,-0.79248,0.000488
0.262939,-0.92627,0.016113
0.279053,-1.003174,-0.070312
0.194824,-0.884277,0.026855
0.363281,-0.879883,0.137451
0.474854,-0.857422,0.150635
0.66626,-0.981934,0.029297
0.532227,-0.929443,-0.077148
0.531494,-0.817139,0.004639
0.406494,-0.869629,-0.000244
0.308105,-0.924316,-0.001465
0.394043,-0.88208,0.154297
0.448242,-0.860352,0.081055
0.465332,-0.851562,0.004639
x,y,z
0.491211,-0.865479,-0.136475
0.396729,-0.904541,-0.299561
0.266113,-0.911377,-0.223145
0.27832,-0.872314,-0.024902
0.349609,-0.858643,0.087402
0.497803,-0.902832,0.16748
0.620117,-0.944336,0.024414
0.514893,-0.823486,-0.049805
0.30835,-0.927002,-0.0979
0.305176,-0.982666,-0.039062
0.26416,-0.932617,-0.176758
0.206543,-0.945068,-0.190674
0.201172,-0.927734,-0.028076
0.292725,-0.840576,0.085449
0.499268,-1.010254,0.090576
0.545166,-0.986328,0.124023
0.474365,-0.804199,0.102783
0.442383,-1.044922,-0.133789
0.411865,-0.962646,-0.1521
0.321533,-0.84668,0.039795
0.434814,-0.844971,0.020996
0.483398,-0.858154,-0.047852
x,y,z
0.545898,-0.835693,-0.122803
0.54541,-0.779053,-0.20874
0.354004,-0.719971,-0.41748
0.236816,-0.911865,-0.081299
0.22876,-0.968506,0.042236
0.387207,-0.965088,0.056641
0.589844,-0.984131,0.057861
0.536865,-0.851807,-0.031738
0.499512,-0.79541,-0.057373
0.412109,-0.924316,-0.024414
0.32666,-0.857178,0.038818
0.291992,-0.98999,-0.200928
0.25708,-0.955078,-0.235107
0.129883,-0.90625,-0.11084
0.244873,-0.950928,0.051514
0.495117,-0.873047,0.095947
0.495117,-0.91333,0.08374
0.537109,-0.969482,0.013428
0.450195,-0.842773,-0.085205
0.332764,-0.87207,-0.03125
0.330566,-0.863281,0.061523
0.378174,-0.872803,0.065918
x,y,z
0.508789,-0.854736,-0.098145
0.52124,-0.789307,-0.176514
0.380859,-0.85376,-0.393066
0.273193,-0.874756,-0.338135
0.257812,-0.874512,-0.212158
0.326416,-0.895264,0.095459
