362,-0.2003,0.9312,-0.3061
363,-0.2002,0.9276,-0.3031
364,-0.1973,0.9298,-0.3021
365,-0.1946,0.9323,-0.301
366,-0.1919,0.9389,-0.3002
367,-0.191,0.9431,-0.3011
368,-0.1897,0.9456,-0.3007
369,-0.1911,0.95,-0.2987
370,-0.1912,0.95,-0.2958
371,-0.19,0.9505,-0.2904
372,-0.1899,0.9482,-0.2829
373,-0.189,0.949,-0.278
374,-0.1878,0.948,-0.2735
375,-0.1895,0.9527,-0.2684
376,-0.1894,0.949,-0.2642
377,-0.1895,0.9498,-0.2592
378,-0.1903,0.9556,-0.253
379,-0.1899,0.9612,-0.2443
380,-0.1884,0.9627,-0.2313
381,-0.1884,0.9699,-0.2169
382,-0.1855,0.9831,-0.1941
383,-0.1835,0.986,-0.163
384,-0.1805,0.988,-0.1251
385,-0.1782,1.0048,-0.0697
386,-0.1743,1.0037,-0.0032
387,-0.1738,1.0017,0.0644
388,-0.1698,1.0035,0.1503
389,-0.1636,0.9651,0.2477
390,-0.1584,0.9115,0.3389
391,-0.1488,0.8876,0.4366
392,-0.1285,0.8097,0.5369
393,-0.1239,0.7072,0.6248
394,-0.1169,0.668,0.6973
395,-0.0835,0.5867,0.765
396,-0.0855,0.4483,0.8282
397,-0.065,0.3754,0.8694
398,-0.0276,0.2792,0.903
399,-0.0157,0.1226,0.9428
400,-0.0073,0.05,0.9678
401,0.0282,0.0217,0.974
402,0.0222,-0.0544,0.9951
403,0.0131,-0.0856,1.0062
404,0.0229,-0.0535,1.0012
405,0.0233,-0.0483,1.0024
406,0.0156,-0.0854,1.0068
407,0.0148,-0.0901,1.0019
408,0.0159,-0.0685,1.0007
409,0.0199,-0.0668,1.0034
410,0.0089,-0.0958,1.0043
411,0.0083,-0.0744,1.0044
412,0.0159,-0.0431,1.006
413,0.0177,-0.0433,1.0077
414,0.0161,-0.0467,1.007
415,0.0163,-0.0212,1.0013
416,0.0175,-0.007,0.9963
417,0.0113,-0.0178,0.997
418,0.0087,-0.0133,0.9937
419,0.0103,-0.0059,0.9907
420,0.0126,-0.0156,0.9949
421,0.0092,-0.0143,0.9958
422,0.0093,0.0108,0.992
423,0.0123,0.0181,0.9967
424,0.0077,0.0131,1.0047
425,0.0069,0.0265,1.0082
426,0.0097,0.0305,1.0149
427,0.01,0.0238,1.0219
428,0.0099,0.0315,1.0203
429,0.0103,0.0389,1.0168
430,0.0074,0.0367,1.0128
431,0.0082,0.0425,1.0064
432,0.0068,0.04,0.9993
433,0.0052,0.0358,0.9934
434,0.0105,0.043,0.9897
435,0.015,0.0375,0.9909
436,0.0146,0.0278,0.9954
437,0.0175,0.027,0.9997
438,0.0184,0.0292,1.0049
439,0.0129,0.0257,1.0107
440,0.0083,0.0374,1.0129
441,0.0034,0.0583,1.011
442,-0.0021,0.1001,1.0063
