@RELATION Features3

@ATTRIBUTE varx REAL
@ATTRIBUTE stdx REAL
@ATTRIBUTE skewx REAL
@ATTRIBUTE minx REAL
@ATTRIBUTE maxx REAL
@ATTRIBUTE avgx REAL
@ATTRIBUTE vary REAL
@ATTRIBUTE stdy REAL
@ATTRIBUTE skewy REAL
@ATTRIBUTE miny REAL
@ATTRIBUTE maxy REAL
@ATTRIBUTE avgy REAL
@ATTRIBUTE varz REAL
@ATTRIBUTE stdz REAL
@ATTRIBUTE skewz REAL
@ATTRIBUTE minz REAL
@ATTRIBUTE maxz REAL
@ATTRIBUTE avgz REAL
@ATTRIBUTE class {1,2,3,4}

@DATA
0.079269429,0.28154827,0.454737688,-0.151611,0.687744,0.226114833,0.234493935,0.484245738,0.834907564,-1.142822,0.416504,-0.530897389,0.001363319,0.036923151,-0.682402215,0.518311,0.702637,0.623887833,1
0.088774114,0.297949851,0.50455699,-0.109375,0.754639,0.236029722,0.258066262,0.508002226,0.729176743,-1.116455,0.5271,-0.472886778,0.004090479,0.063956853,0.358888408,0.492188,0.733398,0.595730222,1
0.076994154,0.277478204,0.331290154,-0.047363,0.7146,0.276826882,0.227412145,0.476877494,0.75955938,-1.074707,0.462402,-0.515366588,0.020641595,0.143671829,2.671079217,0.508057,1.159668,0.641730882,1
0.079338567,0.281671027,0.653043201,-0.053467,0.797852,0.283897053,0.235571479,0.485357063,0.779538646,-1.189453,0.324463,-0.560598263,0.00428023,0.065423468,0.432582557,0.427002,0.743164,0.567537,1
0.083303459,0.288623387,0.514674713,-0.146729,0.768799,0.269449833,0.240416054,0.490322398,0.809898585,-0.970703,0.501221,-0.442043833,0.010449944,0.102224968,1.043299984,0.491211,0.884766,0.624321889,1
0.090738332,0.301228041,0.490381637,-0.032959,0.770996,0.290228889,0.244983397,0.494957975,0.564156034,-1.263184,0.388672,-0.457519611,0.008447271,0.091909035,0.976669045,0.517578,0.831787,0.612508111,1
0.068976411,0.262633605,0.711573079,0.025635,0.776367,0.27872315,0.243961102,0.493924186,1.056164335,-1.117432,0.477783,-0.5674928,0.001590439,0.039880307,-0.642532926,0.438721,0.612793,0.5429444,1
0.068503809,0.261732324,0.48462079,0.022217,0.720703,0.301963421,0.226667706,0.47609632,0.775754219,-1.1875,0.348877,-0.538317211,0.002985055,0.05463566,-0.19316452,0.473633,0.647949,0.559711632,1
0.077735354,0.278810606,0.278462168,0.018555,0.754883,0.345674529,0.274159414,0.523602343,0.592515878,-1.160156,0.436279,-0.493264412,0.003921208,0.06261955,0.319899858,0.415527,0.69043,0.536132824,1
0.077299209,0.278027353,0.16469591,0.045166,0.747803,0.362207133,0.256456781,0.506415621,0.527862424,-0.955811,0.435547,-0.352360067,0.005730263,0.0756985,-0.078940815,0.387939,0.70752,0.560319,1
0.084371859,0.290468345,0.308172442,-0.023682,0.786133,0.336181706,0.274545381,0.523970783,0.635231312,-1.229736,0.546143,-0.51495,0.003382895,0.058162662,-1.904305056,0.337646,0.583252,0.525419412,1
0.069219095,0.26309522,0.557559472,0.050537,0.738037,0.2985108,0.261743153,0.511608398,0.677905085,-1.576172,0.38208,-0.5962402,0.001737258,0.041680422,1.124989582,0.437256,0.606201,0.50118415,1
0.075969915,0.275626405,0.294322231,-0.064697,0.67334,0.281725368,0.196941699,0.443781139,0.896480813,-1.012451,0.366943,-0.545294526,0.002804371,0.052956316,0.606721408,0.505127,0.723389,0.587518053,1
0.077416869,0.27823887,0.464746973,-0.100098,0.729736,0.265883471,0.256827923,0.506781929,0.800373804,-1.193848,0.408936,-0.516630294,0.00468216,0.068426313,0.043820631,0.431152,0.713867,0.560317,1
0.079761183,0.282420224,0.373846433,-0.111084,0.755371,0.28335575,0.300320722,0.548015257,0.518380788,-1.446777,0.495605,-0.57589725,0.005381405,0.073358057,0.796212019,0.435547,0.747559,0.558807375,1
0.069749976,0.264102208,0.635339406,-0.034424,0.692383,0.2440309,0.25818742,0.508121462,0.965869931,-1.257324,0.419434,-0.6010863,0.003764189,0.061352989,1.001330681,0.479004,0.698975,0.5526489,1
